Channel Name,Plan,Price
&FLIX,All-in-One Plan,Rs 299
&PICTURES,All-in-One Plan,Rs 299
&TV,All-in-One Plan,Rs 299
9X TASHAN,All-in-One Plan,Rs 299
ABP ANANDA,All-in-One Plan,Rs 299
ABP ASMITA,All-in-One Plan,Rs 299
ABP MAJHA,All-in-One Plan,Rs 299
ABP NEWS,All-in-One Plan,Rs 299
ANIMAL PLANET,All-in-One Plan,Rs 299
BARKER 2,All-in-One Plan,Rs 299
BHOJPURI SONGS,All-in-One Plan,Rs 299
Bhakti,All-in-One Plan,Rs 299
BIG MAGIC,All-in-One Plan,Rs 299
BOLLYWOOD HITZ,All-in-One Plan,Rs 299
CARTOON NETWORK,All-in-One Plan,Rs 299
CNBC AWAAZ,All-in-One Plan,Rs 299
CNBC TV18,All-in-One Plan,Rs 299
CNN News18,All-in-One Plan,Rs 299
COLORS,All-in-One Plan,Rs 299
COLORS CINEPLEX,All-in-One Plan,Rs 299
COLORS INFINITY,All-in-One Plan,Rs 299
COLORS MARATHI,All-in-One Plan,Rs 299
CUSTOMER INFO,All-in-One Plan,Rs 299
CUSTOMER SUPPORT,All-in-One Plan,Rs 299
DANGAL TV,All-in-One Plan,Rs 299
DD Arunprabha,All-in-One Plan,Rs 299
DD ASSAM,All-in-One Plan,Rs 299
DD BANGLA,All-in-One Plan,Rs 299
DD BHARATI,All-in-One Plan,Rs 299
DD BIHAR,All-in-One Plan,Rs 299
DD CHANDANA,All-in-One Plan,Rs 299
DD CHATISHGARH,All-in-One Plan,Rs 299
DD GIRNAR,All-in-One Plan,Rs 299
DD GOA,All-in-One Plan,Rs 299
DD HARYANA,All-in-One Plan,Rs 299
DD HIMACHAL,All-in-One Plan,Rs 299
DD INDIA,All-in-One Plan,Rs 299
DD INDIA HD,All-in-One Plan,Rs 299
DD JHARKHAND,All-in-One Plan,Rs 299
DD KASHIR,All-in-One Plan,Rs 299
DD KISAN,All-in-One Plan,Rs 299
DD MALAYALAM,All-in-One Plan,Rs 299
DD MANIPUR,All-in-One Plan,Rs 299
DD MEGHALAYA,All-in-One Plan,Rs 299
DD MIZORAM,All-in-One Plan,Rs 299
DD MP,All-in-One Plan,Rs 299
DD NAGALAND,All-in-One Plan,Rs 299
DD NATIONAL,All-in-One Plan,Rs 299
DD NATIONAL HD,All-in-One Plan,Rs 299
DD NEWS,All-in-One Plan,Rs 299
DD NEWS HD,All-in-One Plan,Rs 299
DD ODIYA,All-in-One Plan,Rs 299
DD Port Blair,All-in-One Plan,Rs 299
DD PUNJABI,All-in-One Plan,Rs 299
DD RAJASTHAN,All-in-One Plan,Rs 299
DD SAHYADRI,All-in-One Plan,Rs 299
DD SAPTAGIRI,All-in-One Plan,Rs 299
DD SPORTS,All-in-One Plan,Rs 299
DD SPORTS HD,All-in-One Plan,Rs 299
DD TAMIL,All-in-One Plan,Rs 299
DD TRIPURA,All-in-One Plan,Rs 299
DD UP,All-in-One Plan,Rs 299
DD URDU,All-in-One Plan,Rs 299
DD UTTRAKHAND,All-in-One Plan,Rs 299
DD YADAGIRI,All-in-One Plan,Rs 299
DISCOVERY CHANNEL,All-in-One Plan,Rs 299
DISCOVERY KIDS,All-in-One Plan,Rs 299
DISCOVERY SCIENCE,All-in-One Plan,Rs 299
DISCOVERY TURBO,All-in-One Plan,Rs 299
DISNEY CHANNEL,All-in-One Plan,Rs 299
DISNEY JUNIOR,All-in-One Plan,Rs 299
E 24,All-in-One Plan,Rs 299
EPIC,All-in-One Plan,Rs 299
ET NOW,All-in-One Plan,Rs 299
ET Now Swadesh,All-in-One Plan,Rs 299
