Channel Name,Plan,Price
9X TASHAN,Base Pack,Rs 199
ABP ANANDA,Base Pack,Rs 199
ABP ASMITA,Base Pack,Rs 199
ABP MAJHA,Base Pack,Rs 199
ABP NEWS,Base Pack,Rs 199
ANIMAL PLANET,Base Pack,Rs 199
BARKER 2,Base Pack,Rs 199
Bhakti,Base Pack,Rs 199
Colors Rishtey FTA,Base Pack,Rs 199
CUSTOMER INFO,Base Pack,Rs 199
CUSTOMER SUPPORT,Base Pack,Rs 199
DANGAL TV,Base Pack,Rs 199
DD Arunprabha,Base Pack,Rs 199
DD ASSAM,Base Pack,Rs 199
DD BANGLA,Base Pack,Rs 199
DD BHARATI,Base Pack,Rs 199
DD BIHAR,Base Pack,Rs 199
DD CHANDANA,Base Pack,Rs 199
DD CHATISHGARH,Base Pack,Rs 199
DD GIRNAR,Base Pack,Rs 199
DD GOA,Base Pack,Rs 199
DD HARYANA,Base Pack,Rs 199
DD HIMACHAL,Base Pack,Rs 199
DD INDIA,Base Pack,Rs 199
DD INDIA HD,Base Pack,Rs 199
DD JHARKHAND,Base Pack,Rs 199
DD KASHIR,Base Pack,Rs 199
DD KISAN,Base Pack,Rs 199
DD MALAYALAM,Base Pack,Rs 199
DD MANIPUR,Base Pack,Rs 199
DD MEGHALAYA,Base Pack,Rs 199
DD MIZORAM,Base Pack,Rs 199
DD MP,Base Pack,Rs 199
DD NAGALAND,Base Pack,Rs 199
DD NATIONAL,Base Pack,Rs 199
DD NATIONAL HD,Base Pack,Rs 199
DD NEWS,Base Pack,Rs 199
DD NEWS HD,Base Pack,Rs 199
DD ODIYA,Base Pack,Rs 199
DD Port Blair,Base Pack,Rs 199
DD PUNJABI,Base Pack,Rs 199
DD RAJASTHAN,Base Pack,Rs 199
DD SAHYADRI,Base Pack,Rs 199
DD SAPTAGIRI,Base Pack,Rs 199
DD SPORTS,Base Pack,Rs 199
DD SPORTS HD,Base Pack,Rs 199
DD TAMIL,Base Pack,Rs 199
DD TRIPURA,Base Pack,Rs 199
DD UP,Base Pack,Rs 199
DD URDU,Base Pack,Rs 199
DD UTTRAKHAND,Base Pack,Rs 199
DD YADAGIRI,Base Pack,Rs 199
E 24,Base Pack,Rs 199
EPIC,Base Pack,Rs 199
GOLDMINES,Base Pack,Rs 199
Goldmines Bollywood,Base Pack,Rs 199
Goldmines Movies,Base Pack,Rs 199
Green Chillies TV,Base Pack,Rs 199
HARE KRSNA,Base Pack,Rs 199
INDIA TV,Base Pack,Rs 199
JAI MAHARASHTRA,Base Pack,Rs 199
MUSIC INDIAN TV,Base Pack,Rs 199
NDTV Marathi,Base Pack,Rs 199
NEWS 24,Base Pack,Rs 199
NEWS NATION,Base Pack,Rs 199
NEWS18 ASSAM NORTH-EAST,Base Pack,Rs 199
NEWS18 BANGLA,Base Pack,Rs 199
NEWS18 BIHAR JHARKHAND,Base Pack,Rs 199
NEWS18 GUJARATI,Base Pack,Rs 199
NEWS18 INDIA FTA,Base Pack,Rs 199
NEWS18 JAMMU KASHMIR LADAKH HIMACHAL,Base Pack,Rs 199
NEWS18 KERALA,Base Pack,Rs 199
NEWS18 LOKMAT,Base Pack,Rs 199
NEWS18 MP CHHATTISGARH,Base Pack,Rs 199
News18 Odia,Base Pack,Rs 199
NEWS18 PUNJAB HARYANA,Base Pack,Rs 199
NEWS18 RAJASTHAN,Base Pack,Rs 199
NEWS18 TAMIL NADU,Base Pack,Rs 199
NEWS18 UP & UK,Base Pack,Rs 199
NXT TARANG,Base Pack,Rs 199
R. KANNADA,Base Pack,Rs 199
REPUBLIC BANGLA,Base Pack,Rs 199
REPUBLIC BHARAT,Base Pack,Rs 199
REPUBLIC TV,Base Pack,Rs 199
RUSSIA TODAY,Base Pack,Rs 199
SALAAM TV,Base Pack,Rs 199
SANSAD TV 1,Base Pack,Rs 199
Sansad TV 1 HD,Base Pack,Rs 199
SANSAD TV 2,Base Pack,Rs 199
SANSAD TV 2 HD,Base Pack,Rs 199
SANSKAR,Base Pack,Rs 199
SHEMAROO UMANG,Base Pack,Rs 199
SONY MAX 2,Base Pack,Rs 199
SONY PAL FTA,Base Pack,Rs 199
SONY WAH FTA,Base Pack,Rs 199
SONY YAY!,Base Pack,Rs 199
Srisailam Darshan,Base Pack,Rs 199
STAR BHARAT,Base Pack,Rs 199
STAR GOLD 2,Base Pack,Rs 199
STAR GOLD ROMANCE,Base Pack,Rs 199
