Channel Name,Plan,Price
&FLIX HD,Royal HD Pack,Rs 349
&PICTURES HD,Royal HD Pack,Rs 349
&TV HD,Royal HD Pack,Rs 349
ANIMAL PLANET HD,Royal HD Pack,Rs 349
COLORS HD,Royal HD Pack,Rs 349
COLORS CINEPLEX HD,Royal HD Pack,Rs 349
COLORS INFINITY HD,Royal HD Pack,Rs 349
COLORS MARATHI HD,Royal HD Pack,Rs 349
DD INDIA HD,Royal HD Pack,Rs 349
DD NATIONAL HD,Royal HD Pack,Rs 349
DD NEWS HD,Royal HD Pack,Rs 349
DD SPORTS HD,Royal HD Pack,Rs 349
DISCOVERY CHANNEL HD,Royal HD Pack,Rs 349
DISCOVERY KIDS HD,Royal HD Pack,Rs 349
DISCOVERY SCIENCE HD,Royal HD Pack,Rs 349
DISCOVERY TURBO HD,Royal HD Pack,Rs 349
DISNEY CHANNEL HD,Royal HD Pack,Rs 349
DISNEY JUNIOR HD,Royal HD Pack,Rs 349
EPIC HD,Royal HD Pack,Rs 349
ET NOW HD,Royal HD Pack,Rs 349
EUROSPORT HD,Royal HD Pack,Rs 349
INVESTIGATION DISCOVERY HD,Royal HD Pack,Rs 349
MIRROR NOW HD,Royal HD Pack,Rs 349
MNX HD,Royal HD Pack,Rs 349
MOVIES NOW HD,Royal HD Pack,Rs 349
MTV HD,Royal HD Pack,Rs 349
NAT GEO WILD HD,Royal HD Pack,Rs 349
NATIONAL GEOGRAPHIC HD,Royal HD Pack,Rs 349
NDTV MARATHI HD,Royal HD Pack,Rs 349
NEWS18 LOKMAT HD,Royal HD Pack,Rs 349
NICK HD,Royal HD Pack,Rs 349
POGO HD,Royal HD Pack,Rs 349
PRAVAH PICTURE HD,Royal HD Pack,Rs 349
ROMEDY NOW HD,Royal HD Pack,Rs 349
SANSAD TV 1 HD,Royal HD Pack,Rs 349
SANSAD TV 2 HD,Royal HD Pack,Rs 349
SONIC HD,Royal HD Pack,Rs 349
SONY BBC EARTH HD,Royal HD Pack,Rs 349
SONY ENTERTAINMENT TELEVISION HD,Royal HD Pack,Rs 349
SONY MARATHI HD,Royal HD Pack,Rs 349
SONY MAX HD,Royal HD Pack,Rs 349
SONY MAX 1 HD,Royal HD Pack,Rs 349
SONY MAX 2 HD,Royal HD Pack,Rs 349
SONY PIX HD,Royal HD Pack,Rs 349
SONY SAB HD,Royal HD Pack,Rs 349
SONY SPORTS TEN 1 HD,Royal HD Pack,Rs 349
SONY SPORTS TEN 2 HD,Royal HD Pack,Rs 349
SONY SPORTS TEN 3 HD,Royal HD Pack,Rs 349
SONY SPORTS TEN 5 HD,Royal HD Pack,Rs 349
SONY YAY! HD,Royal HD Pack,Rs 349
STAR BHARAT HD,Royal HD Pack,Rs 349
STAR GOLD HD,Royal HD Pack,Rs 349
STAR GOLD 2 HD,Royal HD Pack,Rs 349
STAR GOLD ROMANCE HD,Royal HD Pack,Rs 349
STAR GOLD SELECT HD,Royal HD Pack,Rs 349
STAR GOLD THRILLS HD,Royal HD Pack,Rs 349
STAR MOVIES HD,Royal HD Pack,Rs 349
STAR MOVIES SELECT HD,Royal HD Pack,Rs 349
STAR PLUS HD,Royal HD Pack,Rs 349
STAR PRAVAH HD,Royal HD Pack,Rs 349
STAR SPORTS 1 HD,Royal HD Pack,Rs 349
STAR SPORTS 1 HINDI HD,Royal HD Pack,Rs 349
STAR SPORTS 2 HD,Royal HD Pack,Rs 349
STAR SPORTS 2 HINDI HD,Royal HD Pack,Rs 349
STAR SPORTS 3 HD,Royal HD Pack,Rs 349
STAR SPORTS KHEL HD,Royal HD Pack,Rs 349
STAR SPORTS SELECT 1 HD,Royal HD Pack,Rs 349
STAR SPORTS SELECT 2 HD,Royal HD Pack,Rs 349
SUN BANGLA HD,Royal HD Pack,Rs 349
SUN MARATHI HD,Royal HD Pack,Rs 349
SUN NEO HD,Royal HD Pack,Rs 349
THE HISTORY CHANNEL HD,Royal HD Pack,Rs 349
TIMES NOW HD,Royal HD Pack,Rs 349
TLC HD,Royal HD Pack,Rs 349
ZEE 24 GHANTA HD,Royal HD Pack,Rs 349
ZEE 24 KALAK HD,Royal HD Pack,Rs 349
ZEE 24 TAAS HD,Royal HD Pack,Rs 349
ZEE ACTION HD,Royal HD Pack,Rs 349
ZEE ANMOL CINEMA HD,Royal HD Pack,Rs 349
ZEE BISKOPE HD,Royal HD Pack,Rs 349
ZEE BOLLYWOOD HD,Royal HD Pack,Rs 349
ZEE BUSINESS HD,Royal HD Pack,Rs 349
ZEE CAFÉ HD,Royal HD Pack,Rs 349
ZEE CINEMA HD,Royal HD Pack,Rs 349
ZEE CLASSIC HD,Royal HD Pack,Rs 349
ZEE MARATHI HD,Royal HD Pack,Rs 349
ZEE NEWS HD,Royal HD Pack,Rs 349
ZEE PUNJAB HARYANA HIMACHAL HD,Royal HD Pack,Rs 349
ZEE TALKIES HD,Royal HD Pack,Rs 349
ZEE TV HD,Royal HD Pack,Rs 349
ZEE YUVA HD,Royal HD Pack,Rs 349
ZEE ZEST HD,Royal HD Pack,Rs 349
ZING HD,Royal HD Pack,Rs 349
ZOOM HD,Royal HD Pack,Rs 349
CARTOON NETWORK HD,Royal HD Pack,Rs 349
NICK JR HD,Royal HD Pack,Rs 349
SUPER HUNGAMA HD,Royal HD Pack,Rs 349
HUNGAMA TV HD,Royal HD Pack,Rs 349
RED MUSIC HD,Royal HD Pack,Rs 349
RED SPORTS HD,Royal HD Pack,Rs 349
9X TASHAN HD,Royal HD Pack,Rs 349
ABP NEWS HD,Royal HD Pack,Rs 349
ABP ANANDA HD,Royal HD Pack,Rs 349
ABP MAJHA HD,Royal HD Pack,Rs 349
INDIA TV HD,Royal HD Pack,Rs 349
NEWS 24 HD,Royal HD Pack,Rs 349
NEWS NATION HD,Royal HD Pack,Rs 349
REPUBLIC TV HD,Royal HD Pack,Rs 349
REPUBLIC BHARAT HD,Royal HD Pack,Rs 349
REPUBLIC BANGLA HD,Royal HD Pack,Rs 349
WION HD,Royal HD Pack,Rs 349
CNN NEWS18 HD,Royal HD Pack,Rs 349
CNBC TV18 HD,Royal HD Pack,Rs 349
CNBC AWAAZ HD,Royal HD Pack,Rs 349
NEWS18 INDIA HD,Royal HD Pack,Rs 349
NEWS18 PUNJAB HD,Royal HD Pack,Rs 349
NEWS18 RAJASTHAN HD,Royal HD Pack,Rs 349
NEWS18 UP UK HD,Royal HD Pack,Rs 349
NEWS18 MP CHHATTISGARH HD,Royal HD Pack,Rs 349
NEWS18 BIHAR JHARKHAND HD,Royal HD Pack,Rs 349
NEWS18 BANGLA HD,Royal HD Pack,Rs 349
NEWS18 ODIA HD,Royal HD Pack,Rs 349
NEWS18 KERALA HD,Royal HD Pack,Rs 349
NEWS18 TAMIL NADU HD,Royal HD Pack,Rs 349
NEWS18 GUJARATI HD,Royal HD Pack,Rs 349
NEWS18 ASSAM NORTH EAST HD,Royal HD Pack,Rs 349
BIG MAGIC HD,Royal HD Pack,Rs 349
DANGAL TV HD,Royal HD Pack,Rs 349
GOLDMINES HD,Royal HD Pack,Rs 349
GOLDMINES BOLLYWOOD HD,Royal HD Pack,Rs 349
GOLDMINES MOVIES HD,Royal HD Pack,Rs 349
SHEMAROO TV HD,Royal HD Pack,Rs 349
SHEMAROO UMANG HD,Royal HD Pack,Rs 349
SHEMAROO BHAKTI HD,Royal HD Pack,Rs 349
SANSKAR HD,Royal HD Pack,Rs 349
BHAKTI HD,Royal HD Pack,Rs 349
HARE KRSNA HD,Royal HD Pack,Rs 349
IBAADAT TV HD,Royal HD Pack,Rs 349
JAI MAHARASHTRA HD,Royal HD Pack,Rs 349
MUSIC INDIAN TV HD,Royal HD Pack,Rs 349
